artist_id,artist_name,genres,gender,category
329e4yvIujISKGKz1BZZbO,Farruko,"reggaeton,trap latino,urbano latino",male,Solo Act
0aOIluXr131XqrXFwFCFGT,Sevek,,,Unknown
7I2JG3CcPawkeQPE7uypHJ,HBz,"hypertechno,melbourne bounce international",,Band
1qQLhymHXFPtP5U8KNKsm6,Apache 207,german hip hop,male,Solo Act
2W6WP4pHQTFlbr2z9S4n54,Kordhell,drift phonk,male,Solo Act
2CaWJMR1eyvq8n5h96ggJC,Durdenhauer,hypertechno,,Solo Act
37czgDRfGMvgRiUKHvnnhj,Öwnboss,brazilian edm,,Unknown
6vNAKgK5d74N1I0zTxRPDp,Tream,techno remix,male,Solo Act
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,"belgian edm,edm,pop dance,tropical house",male,Solo Act
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,"pop,post-teen pop",female,Solo Act
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,"modern alternative rock,modern rock,pop",,Band
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,"east coast hip hop,hip hop,rap,trap",male,Solo Act
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,pop,male,Solo Act
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"hip hop,melodic rap,philly rap,rage rap,rap,trap",non-binary,Solo Act
3ZuBEj9ppJe8GSdKaMTfMN,Nimo,"german hip hop,swedish hip hop",male,Solo Act
164Uj4eKjl6zTBKfJLFKKK,JVKE,"modern indie pop,pov: indie,singer-songwriter pop",male,Solo Act
3pjq2pDV9RR6VY55wBjVnp,Dardan,"albanian hip hop,german hip hop",male,Solo Act
5ZY4M2aGiTaZQEP6HfqeJc,Montez,"german hip hop,german pop",male,Solo Act
4pnp4w9g30yLfVIAFnZMRd,ACRAZE,"pop dance,tech house",male,Solo Act
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,pop,female,Solo Act
3mRSi79NwnlKaOH8vFxBVL,PollyAnna,,,Band
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"pop,r&b",female,Solo Act
3y24n3XhZ96wgwRXjvS17T,Coolio,"g funk,gangster rap,hip hop,west coast rap",male,Solo Act
2LhsePRtgCo4THVKULQBL7,L.V.,,male,Solo Act
2X22f1pZWsWSp7qgbdGov8,Devon,,male,Solo Act
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,"dance pop,pop,pop rap",,Band
1c70yCa8sRgIiQxl3HOEFo,Cherish,"atl hip hop,girl group,hip pop,r&b,southern hip hop,urban contemporary",,Band
61ipISvUVa5LkJlKZnm3Oo,Alle Farben,"deep euro house,german dance",male,Solo Act
2HZQ0WXT8ECFeGLFeCHhTy,JAMYX,,,Unknown
3maDQKNIwvbtAglSmYGhCo,DJ Cashi,partyschlager,female,Solo Act
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"dance pop,pop",male,Solo Act
1RyvyyTE3xzB2ZywiAwp0i,Future,"atl hip hop,hip hop,rap,southern hip hop,trap",male,Solo Act
2V63XSO1pn1xopgeRMP06U,Die Zipfelbuben,"discofox,partyschlager",,Band
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,"dance pop,edm,house,pop dance,uk dance,uk pop",male,Solo Act
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop,singer-songwriter pop,uk pop",male,Solo Act
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,"modern rock,pop,rock",,Band
0U7ti3mwGrBNlKNE4YlbfT,Sierra Kidd,"german cloud rap,german hip hop",male,Solo Act
3RbuVoer2pZlqAXI73ElhX,Cheriimoya,sad lo-fi,female,Solo Act
3gemH8D6fpu12DmTmUZYAL,Culcha Candela,german pop,,Band
4vEIMa1vuh2eKBryiepN8c,Rosc,german hip hop,,Unknown
7uMh23xWiuR7zsNkuNcm2G,MNEK,"house,pop dance,uk contemporary r&b,uk dance,uk pop",male,Solo Act
2nxyC1TQywKkvfkvuaiaW6,TurboKevin,hypertechno,,Solo Act
5nCgKGRzy6OvXqeegLar6y,San Andreas,,,Band
3Hvx3BM0K4FHBs9J3k8G6V,NGEE,german hip hop,male,Solo Act
7qVzI20Li7Utd9XAa8VHLj,Shaun Baker,hands up,male,Solo Act
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian hip hop,male,Solo Act
3XZewrXpRQqqCMuUMAIhvN,Domiziana,german hyperpop,female,Solo Act
13wroZC00C9ix8fUR0JvaY,The Stickmen Project,,,Band
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",female,Solo Act
33ScadVnbm2X8kkUqOkC6Z,Don Omar,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino",male,Solo Act
67SeoU54DvDpkDDXtWEoOc,MartinBepunkt,hypertechno,male,Solo Act
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop,pop",male,Solo Act
5bv5RplEOwdCvhq0EILh9E,Lucenzo,reggaeton,male,Solo Act
1w67D3PakcxjYGt6xPnnke,Darius & Finlay,"hands up,pop house",,Band
5pXe6yFchq1oyYK3rq2A8i,KIDDO,scandipop,female,Solo Act
3q7HBObVc0L8jNeTe5Gofh,50 Cent,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",male,Solo Act
07SFzTMeYf5P8Rd32a9Zzw,AK AUSSERKONTROLLE,german hip hop,male,Solo Act
0w1sbtZVQoK6GzV4A4OkCv,Mau P,tech house,,Unknown
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian pop,pop,urban contemporary",female,Solo Act
7CLsFRcEkn0Amc9VlVOFwR,LUNAX,hypertechno,female,Solo Act
0jnsk9HBra6NMjO2oANoPY,Flo Rida,"dance pop,miami hip hop,pop,pop rap",male,Solo Act
3aQeKQSyrW4qWr35idm0cy,T-Pain,"dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",male,Solo Act
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,"atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",male,Solo Act
1rPf3UFQ9PzH7MafzfHTnG,TWISTED,meme,,Band
23zg3TcAtWQy7J6upgbUnj,USHER,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",male,Solo Act
63wjoROpeh5f11Qm93UiJ1,Keri Hilson,"dance pop,hip pop,r&b,urban contemporary",female,Solo Act
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,gen z singer-songwriter,male,Solo Act
7o2ZQYM7nTsaVdkXY38UAA,Em Beihold,"alt z,gen z singer-songwriter",female,Solo Act
50ZzowkYhUZZ2uGZSXqJbE,Florian Künstler,german pop,male,Solo Act
4EPJlUEBy49EX1wuFOvtjK,Becky Hill,"pop dance,pop house,uk dance,uk pop",female,Solo Act
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,"dance pop,pop,pop rap",male,Solo Act
0rvjqX7ttXeg3mTy8Xscbt,Journey,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,soft rock",,Band
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,"dance pop,pop dance,talent show,uk pop",female,Solo Act
2WBJQGf1bT1kxuoqziH5g4,Purple Disco Machine,"deep house,house",,Solo Act
4TLCPR1sMYoNU1jA7O4uww,D.O.E.,,,Band
4FrXHrpbDLNyO3pbVv8RmF,Sophie and the Giants,sheffield indie,,Band
6h1s4i4XKIYv4ErDelLDN0,Samra,german hip hop,male,Solo Act
7sfl4Xt5KmfyDs2T3SVSMK,Lil Jon,"atl hip hop,crunk,dance pop,dirty south rap,old school atlanta hip hop,pop rap,southern hip hop,trap",male,Solo Act
5bfglVyGJppmmNoC2rhBUG,Natalie Jane,singer-songwriter pop,female,Solo Act
4WoSAKuoaPxrbwp3Y1PvKb,Bozza,"german hip hop,german underground rap",male,Solo Act
0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian pop,dance pop,latin pop,pop",female,Solo Act
2UalkSaAju9YEfMVd9VUeE,Adaver,,,Unknown
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"alternative metal,nu metal,post-grunge,rap metal,rock",,Band
6MF9fzBmfXghAz953czmBC,Taio Cruz,"dance pop,pop,pop rap",male,Solo Act
3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,dark clubbing,male,Solo Act
2gW0M5fn2r7Lo4Hn1r8HZ5,Creeds,hypertechno,male,Solo Act
3iNULJ7Pzkesh8xo72Xy9e,Kenan,,,Solo Act
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean,rap kreyol,male,Solo Act
34LetYSjEuG2fBb4Z8PwPg,Pashanim,"german alternative rap,german drill,german hip hop",male,Solo Act
5eioJDe26lOqkAMbuhzZYs,Gzuz,"deep german hip hop,german hip hop,hamburg hip hop",male,Solo Act
